,Drop Off Location,Stake,Route Information,Time Spent,Total Adult Volunteers,Total Youth Volunteers,Number of Doors,Number of Donation Bags,Number of Routes,Ward,Year,Latitude,Longitude
929,Bearspaw Chapel,Gateway Stake,Route Unknown,60,2.0,1.0,172.0,35.0,2.0,Lee Ridge Ward,2023,53.469593,-113.444355
930,Bearspaw Chapel,Gateway Stake,Route Unknown,90,1.0,0.0,163.0,23.0,2.0,Lee Ridge Ward,2023,53.469593,-113.444355
931,Gateway Stake Centre,Gateway Stake,Route Unknown,37,2.0,2.0,186.0,17.0,2.0,Silver Berry Ward,2023,53.461159,-113.381406
932,Bearspaw Chapel,Bonnie Doon Stake,Route Unknown,45,2.0,0.0,145.0,22.0,2.0,Southgate Ward,2023,53.4772,-113.5193
933,Riverbend Stake Centre,Riverbend Stake,Route Unknown,38,2.0,0.0,68.0,8.0,2.0,Rutherford Ward,2023,53.416765,-113.529788
934,Bearspaw Chapel,Bonnie Doon Stake,Route Unknown,43,2.0,0.0,158.0,11.0,2.0,Strathcona Married Student Ward,2023,53.5241,-113.5208
935,Gateway Stake Centre,Gateway Stake,Route Unknown,30,6.0,0.0,300.0,20.0,2.0,Silver Berry Ward,2023,53.461159,-113.381406
936,Bearspaw Chapel,Bonnie Doon Stake,Route Unknown,180,2.0,3.0,257.0,60.0,2.0,Southgate Ward,2023,53.4772,-113.5193
937,Riverbend Stake Centre,Riverbend Stake,Route Unknown,180,2.0,1.0,300.0,80.0,2.0,Terwillegar Park Ward,2023,53.4662,-113.5835
938,Londonderry Chapel,Bonnie Doon Stake,Route Unknown,180,2.0,1.0,191.0,42.0,2.0,Clareview Ward,2023,53.5954,-113.4153
939,Bearspaw Chapel,Gateway Stake,Route Unknown,180,2.0,3.0,157.0,32.0,2.0,Lee Ridge Ward,2023,53.469593,-113.444355
940,Riverbend Stake Centre,Riverbend Stake,Route Unknown,100,2.0,2.0,350.0,54.0,2.0,Woodbend Ward,2023,53.4747,-113.6399
941,Riverbend Stake Centre,Riverbend Stake,Route Unknown,30,3.0,1.0,80.0,100.0,2.0,Rabbit Hill Ward,2023,53.4256,-113.5464
942,Londonderry Chapel,Bonnie Doon Stake,Route Unknown,30,4.0,0.0,607.0,200.0,7.0,Clareview Ward,2023,53.5954,-113.4153
943,Londonderry Chapel,Bonnie Doon Stake,Route Unknown,30,3.0,1.0,25.0,25.0,2.0,Clareview Ward,2023,53.5954,-113.4153
944,Gateway Stake Centre,Gateway Stake,Route Unknown,54,2.0,1.0,36.0,45.0,2.0,Rio Vista Ward,2023,53.4344,-113.5733
945,Riverbend Stake Centre,Riverbend Stake,Route Unknown,100,3.0,1.0,430.0,110.0,3.0,Rabbit Hill Ward,2023,53.4256,-113.5464
946,Bearspaw Chapel,Bonnie Doon Stake,Route Unknown,70,2.0,0.0,195.0,58.0,3.0,Southgate Ward,2023,53.4772,-113.5193
947,Riverbend Stake Centre,Riverbend Stake,Route Unknown,109,2.0,3.0,110.0,39.0,2.0,Greenfield Ward,2023,53.471073,-113.527505
948,Gateway Stake Centre,Gateway Stake,Route Unknown,150,2.0,2.0,330.0,35.0,2.0,Lee Ridge Ward,2023,53.469593,-113.444355
949,Riverbend Stake Centre,Riverbend Stake,Route Unknown,15,2.0,3.0,380.0,88.0,2.0,Woodbend Ward,2023,53.4747,-113.6399
950,Riverbend Stake Centre,Riverbend Stake,Route Unknown,150,1.0,3.0,142.0,12.0,2.0,Rutherford Ward,2023,53.416765,-113.529788
951,Gateway Stake Centre,Gateway Stake,Route Unknown,150,3.0,4.0,206.0,33.0,3.0,Silver Berry Ward,2023,53.461159,-113.381406
952,Bearspaw Chapel,Gateway Stake,Route Unknown,45,3.0,0.0,171.0,30.0,2.0,Blackmud Creek Ward,2023,53.419661,-113.510788
953,North Stake Centre,Edmonton North Stake,Route Unknown,140,3.0,0.0,380.0,60.0,2.0,Griesbach Ward,2023,53.606808,-113.504229
954,Bearspaw Chapel,Gateway Stake,Route Unknown,30,4.0,5.0,195.0,14.0,2.0,Blackmud Creek Ward,2023,53.419661,-113.510788
955,Gateway Stake Centre,Gateway Stake,Route Unknown,25,2.0,0.0,160.0,23.0,2.0,Lee Ridge Ward,2023,53.469593,-113.444355
956,Gateway Stake Centre,Gateway Stake,Route Unknown,90,1.0,1.0,180.0,45.0,1.0,Ellerslie Ward,2023,53.428545,-113.457731
957,Riverbend Stake Centre,Riverbend Stake,Route Unknown,150,2.0,4.0,74.0,80.0,4.0,Rabbit Hill Ward,2023,53.4256,-113.5464
958,Bearspaw Chapel,Bonnie Doon Stake,Route Unknown,45,2.0,3.0,147.0,20.0,2.0,Southgate Ward,2023,53.4772,-113.5193
959,Riverbend Stake Centre,Riverbend Stake,Route Unknown,150,2.0,0.0,500.0,100.0,2.0,Greenfield Ward,2023,53.471073,-113.527505
960,Bearspaw Chapel,Gateway Stake,Route Unknown,30,3.0,0.0,60.0,8.0,2.0,Blackmud Creek Ward,2023,53.419661,-113.510788
961,Riverbend Stake Centre,Riverbend Stake,Route Unknown,92,5.0,0.0,260.0,28.0,2.0,Rutherford Ward,2023,53.416765,-113.529788
962,Bearspaw Chapel,Gateway Stake,Route Unknown,85,3.0,4.0,147.0,14.0,2.0,Lee Ridge Ward,2023,53.469593,-113.444355
963,Riverbend Stake Centre,Riverbend Stake,Route Unknown,80,2.0,2.0,200.0,65.0,2.0,Woodbend Ward,2023,53.4747,-113.6399
964,Bearspaw Chapel,Gateway Stake,Route Unknown,150,3.0,4.0,166.0,25.0,2.0,Lee Ridge Ward,2023,53.469593,-113.444355
965,Riverbend Stake Centre,Riverbend Stake,Route Unknown,60,2.0,2.0,377.0,67.0,2.0,Rutherford Ward,2023,53.416765,-113.529788
966,Riverbend Stake Centre,Riverbend Stake,Route Unknown,150,3.0,0.0,246.0,34.0,2.0,Rutherford Ward,2023,53.416765,-113.529788
967,Bearspaw Chapel,Gateway Stake,Route Unknown,150,4.0,9.0,178.0,32.0,2.0,Blackmud Creek Ward,2023,53.419661,-113.510788
968,Gateway Stake Centre,Gateway Stake,Route Unknown,25,1.0,1.0,226.0,25.0,2.0,Ellerslie Ward,2023,53.428545,-113.457731
969,Riverbend Stake Centre,Riverbend Stake,Route Unknown,170,1.0,1.0,650.0,125.0,3.0,Terwillegar Park Ward,2023,53.4662,-113.5835
970,North Stake Centre,Edmonton North Stake,Route Unknown,150,2.0,2.0,2500.0,145.0,5.0,Namao Ward,2023,53.7242,-113.4799
971,Riverbend Stake Centre,Riverbend Stake,Route Unknown,150,2.0,2.0,215.0,40.0,2.0,Rutherford Ward,2023,53.416765,-113.529788
972,Riverbend Stake Centre,Riverbend Stake,Route Unknown,60,3.0,3.0,280.0,40.0,2.0,Terwillegar Park Ward,2023,53.4662,-113.5835
973,Riverbend Stake Centre,Riverbend Stake,Route Unknown,75,2.0,0.0,160.0,20.0,2.0,Woodbend Ward,2023,53.4747,-113.6399
974,Riverbend Stake Centre,Riverbend Stake,Route Unknown,150,4.0,0.0,300.0,65.0,2.0,Rabbit Hill Ward,2023,53.4256,-113.5464
975,Gateway Stake Centre,Gateway Stake,Route Unknown,105,2.0,2.0,324.0,52.0,3.0,Crawford Plains Ward,2023,53.441837,-113.406216
976,Bearspaw Chapel,Gateway Stake,Route Unknown,150,0.0,2.0,163.0,20.0,2.0,Lee Ridge Ward,2023,53.469593,-113.444355
977,Bearspaw Chapel,Gateway Stake,Route Unknown,65,0.0,2.0,168.0,20.0,1.0,Lee Ridge Ward,2023,53.469593,-113.444355
978,Gateway Stake Centre,Gateway Stake,Route Unknown,140,2.0,2.0,321.0,37.0,3.0,Crawford Plains Ward,2023,53.441837,-113.406216
979,Riverbend Stake Centre,Riverbend Stake,Route Unknown,103,4.0,0.0,200.0,56.0,2.0,Rabbit Hill Ward,2023,53.4256,-113.5464
980,Riverbend Stake Centre,Riverbend Stake,Route Unknown,75,2.0,0.0,240.0,35.0,2.0,Rutherford Ward,2023,53.416765,-113.529788
981,North Stake Centre,Edmonton North Stake,Route Unknown,40,1.0,3.0,172.0,22.0,2.0,Namao Ward,2023,53.7242,-113.4799
982,Gateway Stake Centre,Gateway Stake,Route Unknown,45,2.0,5.0,466.0,39.0,2.0,Ellerslie Ward,2023,53.428545,-113.457731
983,Bearspaw Chapel,Gateway Stake,Route Unknown,120,1.0,0.0,40.0,18.0,2.0,Lee Ridge Ward,2023,53.469593,-113.444355
984,Bearspaw Chapel,Gateway Stake,Route Unknown,180,3.0,0.0,158.0,22.0,2.0,Lee Ridge Ward,2023,53.469593,-113.444355
985,Bearspaw Chapel,Gateway Stake,Route Unknown,70,1.0,4.0,260.0,41.0,2.0,Blackmud Creek Ward,2023,53.419661,-113.510788
986,Riverbend Stake Centre,Riverbend Stake,Route Unknown,150,1.0,0.0,273.0,25.0,2.0,Rabbit Hill Ward,2023,53.4256,-113.5464
987,Londonderry Chapel,Bonnie Doon Stake,Route Unknown,754,2.0,0.0,100.0,1.0,2.0,Clareview Ward,2023,53.5954,-113.4153
988,Gateway Stake Centre,Gateway Stake,Route Unknown,750,1.0,2.0,205.0,10.0,2.0,Ellerslie Ward,2023,53.428545,-113.457731
989,Bearspaw Chapel,Gateway Stake,Route Unknown,53,2.0,3.0,95.0,42.0,2.0,Blackmud Creek Ward,2023,53.419661,-113.510788
990,Gateway Stake Centre,Gateway Stake,Route Unknown,45,2.0,5.0,200.0,25.0,2.0,Ellerslie Ward,2023,53.428545,-113.457731
991,North Stake Centre,Edmonton North Stake,Route Unknown,120,2.0,0.0,400.0,70.0,3.0,Griesbach Ward,2023,53.606808,-113.504229
992,North Stake Centre,Edmonton North Stake,Route Unknown,145,2.0,0.0,400.0,69.0,3.0,Griesbach Ward,2023,53.606808,-113.504229
993,Bearspaw Chapel,Gateway Stake,Route Unknown,20,33.0,4.0,109.0,19.0,2.0,Blackmud Creek Ward,2023,53.419661,-113.510788
994,Bearspaw Chapel,Gateway Stake,Route Unknown,20,1.0,4.0,178.0,12.0,2.0,Blackmud Creek Ward,2023,53.419661,-113.510788
995,North Stake Centre,Edmonton North Stake,Route Unknown,165,2.0,0.0,316.0,45.0,2.0,Namao Ward,2023,53.7242,-113.4799
996,North Stake Centre,Edmonton North Stake,Route Unknown,15,1.0,0.0,140.0,17.0,2.0,Griesbach Ward,2023,53.606808,-113.504229
997,North Stake Centre,Edmonton North Stake,Route Unknown,150,1.0,4.0,211.0,24.0,2.0,Namao Ward,2023,53.7242,-113.4799
998,Gateway Stake Centre,Gateway Stake,Route Unknown,120,1.0,3.0,472.0,77.0,2.0,Silver Berry Ward,2023,53.461159,-113.381406
999,Gateway Stake Centre,Gateway Stake,Route Unknown,45,1.0,1.0,150.0,14.0,2.0,Silver Berry Ward,2023,53.461159,-113.381406
1000,Gateway Stake Centre,Gateway Stake,Route Unknown,165,2.0,2.0,759.0,124.0,6.0,Crawford Plains Ward,2023,53.441837,-113.406216
1001,Riverbend Stake Centre,Riverbend Stake,Route Unknown,75,2.0,3.0,150.0,25.0,2.0,Woodbend Ward,2023,53.4747,-113.6399
1002,Bearspaw Chapel,Gateway Stake,Route Unknown,110,1.0,2.0,162.0,15.0,2.0,Lee Ridge Ward,2023,53.469593,-113.444355
1003,Gateway Stake Centre,Gateway Stake,Route Unknown,80,5.0,8.0,397.0,33.0,3.0,Rio Vista Ward,2023,53.4344,-113.5733
1004,Gateway Stake Centre,Gateway Stake,Route Unknown,135,2.0,1.0,419.0,50.0,2.0,Ellerslie Ward,2023,53.428545,-113.457731
1005,Bearspaw Chapel,Gateway Stake,Route Unknown,120,1.0,2.0,160.0,25.0,2.0,Lee Ridge Ward,2023,53.469593,-113.444355
1006,Gateway Stake Centre,Gateway Stake,Route Unknown,60,1.0,1.0,92.0,12.0,2.0,Crawford Plains Ward,2023,53.441837,-113.406216
1007,Gateway Stake Centre,Gateway Stake,Route Unknown,60,2.0,2.0,197.0,20.0,2.0,Ellerslie Ward,2023,53.428545,-113.457731
1008,Bearspaw Chapel,Gateway Stake,Route Unknown,90,2.0,1.0,147.0,14.0,2.0,Lee Ridge Ward,2023,53.469593,-113.444355
1009,Bearspaw Chapel,Gateway Stake,Route Unknown,40,1.0,4.0,177.0,13.0,2.0,Blackmud Creek Ward,2023,53.419661,-113.510788
1010,Bearspaw Chapel,Gateway Stake,Route Unknown,150,3.0,2.0,466.0,68.0,3.0,Lee Ridge Ward,2023,53.469593,-113.444355
1011,Bearspaw Chapel,Bonnie Doon Stake,Route Unknown,90,5.0,3.0,200.0,555.0,3.0,Southgate Ward,2023,53.4772,-113.5193
1012,Bearspaw Chapel,Bonnie Doon Stake,Route Unknown,35,1.0,0.0,13.0,17.0,2.0,Southgate Ward,2023,53.4772,-113.5193
1013,Bearspaw Chapel,Gateway Stake,Route Unknown,220,2.0,0.0,100.0,19.0,2.0,Blackmud Creek Ward,2023,53.419661,-113.510788
1014,Bearspaw Chapel,Gateway Stake,Route Unknown,150,2.0,2.0,174.0,32.0,2.0,Blackmud Creek Ward,2023,53.419661,-113.510788
1015,Bearspaw Chapel,Gateway Stake,Route Unknown,30,2.0,0.0,67.0,16.0,2.0,Blackmud Creek Ward,2023,53.419661,-113.510788
1016,Gateway Stake Centre,Gateway Stake,Route Unknown,45,38.0,2.0,339.0,29.0,2.0,Silver Berry Ward,2023,53.461159,-113.381406
1017,Gateway Stake Centre,Gateway Stake,Route Unknown,37,2.0,2.0,197.0,17.0,2.0,Silver Berry Ward,2023,53.461159,-113.381406
1018,Bearspaw Chapel,Gateway Stake,Route Unknown,150,2.0,0.0,123.0,20.0,2.0,Blackmud Creek Ward,2023,53.419661,-113.510788
1019,Bearspaw Chapel,Gateway Stake,Route Unknown,89,2.0,3.0,241.0,49.0,2.0,Blackmud Creek Ward,2023,53.419661,-113.510788
1020,Bearspaw Chapel,Gateway Stake,Route Unknown,40,2.0,0.0,109.0,21.0,2.0,Blackmud Creek Ward,2023,53.419661,-113.510788
1021,Bearspaw Chapel,Gateway Stake,Route Unknown,50,2.0,2.0,190.0,25.0,2.0,Blackmud Creek Ward,2023,53.419661,-113.510788
1022,Bearspaw Chapel,Gateway Stake,Route Unknown,180,3.0,4.0,155.0,40.0,2.0,Blackmud Creek Ward,2023,53.419661,-113.510788
1023,Parkland (Spruce Grove/Stony Plain),Edmonton North Stake,Route Unknown,150,2.0,5.0,115.0,20.0,2.0,Stony Plain Ward,2023,53.5286,-114.0103
1024,Riverbend Stake Centre,Riverbend Stake,Route Unknown,40,2.0,10.0,200.0,29.0,3.0,Greenfield Ward,2023,53.471073,-113.527505
1025,Riverbend Stake Centre,Riverbend Stake,Route Unknown,40,2.0,4.0,174.0,29.0,3.0,Terwillegar Park Ward,2023,53.4662,-113.5835
1026,Riverbend Stake Centre,Riverbend Stake,Route Unknown,80,2.0,4.0,262.0,39.0,3.0,Terwillegar Park Ward,2023,53.4662,-113.5835
1027,Bearspaw Chapel,Gateway Stake,Route Unknown,75,2.0,2.0,202.0,25.0,2.0,Blackmud Creek Ward,2023,53.419661,-113.510788
1028,Bearspaw Chapel,Bonnie Doon Stake,Route Unknown,55,4.0,5.0,157.0,34.0,2.0,Southgate Ward,2023,53.4772,-113.5193
1029,Bearspaw Chapel,Gateway Stake,Route Unknown,60,2.0,0.0,142.0,28.0,2.0,Lee Ridge Ward,2023,53.469593,-113.444355
1030,Gateway Stake Centre,Gateway Stake,Route Unknown,150,2.0,0.0,195.0,150.0,6.0,Crawford Plains Ward,2023,53.441837,-113.406216
1031,Parkland (Spruce Grove/Stony Plain),Edmonton North Stake,Route Unknown,30,1.0,0.0,195.0,16.0,2.0,Stony Plain Ward,2023,53.5286,-114.0103
1032,Bearspaw Chapel,Bonnie Doon Stake,Route Unknown,45,4.0,0.0,13.0,14.0,2.0,Southgate Ward,2023,53.4772,-113.5193
1033,Bearspaw Chapel,Gateway Stake,Route Unknown,150,2.0,0.0,195.0,22.0,2.0,Blackmud Creek Ward,2023,53.419661,-113.510788
1034,Parkland (Spruce Grove/Stony Plain),Edmonton North Stake,Route Unknown,120,2.0,0.0,240.0,29.0,3.0,Stony Plain Ward,2023,53.5286,-114.0103
1035,Bearspaw Chapel,Bonnie Doon Stake,Route Unknown,30,1.0,4.0,130.0,30.0,2.0,Southgate Ward,2023,53.4772,-113.5193
1036,Parkland (Spruce Grove/Stony Plain),Edmonton North Stake,Route Unknown,60,2.0,0.0,130.0,140.0,2.0,Stony Plain Ward,2023,53.5286,-114.0103
1037,Morinville,Edmonton North Stake,Route Unknown,100,2.0,8.0,525.0,1.0,2.0,Namao Ward,2023,53.7242,-113.4799
1038,Parkland (Spruce Grove/Stony Plain),Edmonton North Stake,Route Unknown,90,1.0,0.0,195.0,8.0,2.0,Stony Plain Ward,2023,53.5286,-114.0103
1039,Parkland (Spruce Grove/Stony Plain),Edmonton North Stake,Route Unknown,71,1.0,3.0,254.0,52.0,3.0,Pioneer Ward,2023,53.4577,-113.4377
1040,Bonnie Doon Stake Centre,Bonnie Doon Stake,Route Unknown,36,2.0,1.0,40.0,9.0,2.0,Strathcona Married Student Ward,2023,53.5241,-113.5208
1041,Bonnie Doon Stake Centre,Bonnie Doon Stake,Route Unknown,43,1.0,2.0,120.0,24.0,2.0,Forest Heights Ward,2023,53.544537,-113.45125
1042,Bonnie Doon Stake Centre,Bonnie Doon Stake,Route Unknown,41,2.0,1.0,130.0,16.0,2.0,Forest Heights Ward,2023,53.544537,-113.45125
1043,Bonnie Doon Stake Centre,Bonnie Doon Stake,Route Unknown,51,3.0,0.0,110.0,14.0,2.0,Forest Heights Ward,2023,53.544537,-113.45125
1044,Bonnie Doon Stake Centre,Bonnie Doon Stake,Route Unknown,45,2.0,0.0,60.0,6.0,2.0,Forest Heights Ward,2023,53.544537,-113.45125
1045,Bonnie Doon Stake Centre,Bonnie Doon Stake,Route Unknown,41,2.0,0.0,66.0,12.0,2.0,Strathcona Married Student Ward,2023,53.5241,-113.5208
1046,Bonnie Doon Stake Centre,Bonnie Doon Stake,Route Unknown,35,1.0,0.0,100.0,7.0,2.0,Connors Hill Ward,2023,53.5302,-113.4683
1047,Bonnie Doon Stake Centre,Bonnie Doon Stake,Route Unknown,65,3.0,0.0,65.0,28.0,2.0,Connors Hill Ward,2023,53.5302,-113.4683
1048,Bonnie Doon Stake Centre,Bonnie Doon Stake,Route Unknown,63,2.0,2.0,150.0,36.0,2.0,Forest Heights Ward,2023,53.544537,-113.45125
1049,Morinville,Edmonton North Stake,Route Unknown,240,1.0,3.0,420.0,80.0,2.0,Namao Ward,2023,53.7242,-113.4799
1050,Onoway,Edmonton North Stake,Route Unknown,45,2.0,0.0,195.0,10.0,2.0,Onoway Ward,2023,53.703,-114.1973
1051,North Stake Centre,Edmonton North Stake,Route Unknown,45,2.0,0.0,150.0,20.0,2.0,Namao Ward,2023,53.7242,-113.4799
1053,Parkland (Spruce Grove/Stony Plain),Edmonton North Stake,Route Unknown,120,2.0,4.0,195.0,51.0,2.0,Stony Plain Ward,2023,53.5286,-114.0103
1054,North Stake Centre,Edmonton North Stake,Route Unknown,150,2.0,0.0,600.0,78.0,3.0,Griesbach Ward,2023,53.606808,-113.504229
1055,Londonderry Chapel,Edmonton North Stake,Route Unknown,30,2.0,2.0,195.0,5.0,2.0,Lago Lindo Branch Ward,2023,53.6159,-113.4867
